"Code";"Name";"Location";"Types of marriages";"Age of females";"Age of males";"Year";"Value";"Measure Unit";"Attribute";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"under 20 years";"males total";"2013";195;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"under 20 years";"males total";"2014";185;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"under 20 years";"males total";"2015";148;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"under 20 years";"males total";"2016";132;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"under 20 years";"males total";"2017";116;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"under 20 years";"males total";"2018";104;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"under 20 years";"males total";"2019";78;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"under 20 years";"males total";"2020";45;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"20-24";"males total";"2010";2865;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"20-24";"males total";"2011";2497;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"20-24";"males total";"2012";2392;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"20-24";"males total";"2013";2005;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"20-24";"males total";"2014";2035;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"20-24";"males total";"2015";1966;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"20-24";"males total";"2016";1751;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"20-24";"males total";"2017";1630;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"20-24";"males total";"2018";1515;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"20-24";"males total";"2019";1283;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"20-24";"males total";"2020";862;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"25-29";"males total";"2010";3295;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"25-29";"males total";"2011";3032;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"25-29";"males total";"2012";2960;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"25-29";"males total";"2013";2492;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"25-29";"males total";"2014";2706;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"25-29";"males total";"2015";2711;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"25-29";"males total";"2016";2537;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"25-29";"males total";"2017";2703;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"25-29";"males total";"2018";2549;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"25-29";"males total";"2019";2400;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"25-29";"males total";"2020";1730;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"30-34";"males total";"2010";996;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"30-34";"males total";"2011";977;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"30-34";"males total";"2012";989;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"30-34";"males total";"2013";944;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"30-34";"males total";"2014";1042;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"30-34";"males total";"2015";1033;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"30-34";"males total";"2016";1094;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"30-34";"males total";"2017";1122;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"30-34";"males total";"2018";1154;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"30-34";"males total";"2019";1078;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"30-34";"males total";"2020";881;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"35-39";"males total";"2010";342;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"35-39";"males total";"2011";326;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"35-39";"males total";"2012";388;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"35-39";"males total";"2013";343;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"35-39";"males total";"2014";393;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"35-39";"males total";"2015";434;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"35-39";"males total";"2016";458;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"35-39";"males total";"2017";499;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"35-39";"males total";"2018";530;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"35-39";"males total";"2019";552;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"35-39";"males total";"2020";440;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"40-49";"males total";"2010";272;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"40-49";"males total";"2011";256;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"40-49";"males total";"2012";289;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"40-49";"males total";"2013";300;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"40-49";"males total";"2014";332;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"40-49";"males total";"2015";352;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"40-49";"males total";"2016";411;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"40-49";"males total";"2017";459;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"40-49";"males total";"2018";483;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"40-49";"males total";"2019";582;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"40-49";"males total";"2020";469;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"50-59";"males total";"2010";181;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"50-59";"males total";"2011";173;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"50-59";"males total";"2012";183;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"50-59";"males total";"2013";190;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"50-59";"males total";"2014";194;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"50-59";"males total";"2015";183;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"50-59";"males total";"2016";188;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"50-59";"males total";"2017";182;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"50-59";"males total";"2018";215;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"50-59";"males total";"2019";238;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"50-59";"males total";"2020";216;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"60 and more";"males total";"2010";70;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"60 and more";"males total";"2011";83;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"60 and more";"males total";"2012";86;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"60 and more";"males total";"2013";87;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"60 and more";"males total";"2014";91;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"60 and more";"males total";"2015";76;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"60 and more";"males total";"2016";122;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"60 and more";"males total";"2017";123;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"60 and more";"males total";"2018";146;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"60 and more";"males total";"2019";146;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"total";"total";"60 and more";"males total";"2020";124;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"females total";"males total";"2010";21191;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"females total";"males total";"2011";19274;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"females total";"males total";"2012";19103;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"females total";"males total";"2013";16763;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"females total";"males total";"2014";17437;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"females total";"males total";"2015";17633;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"females total";"males total";"2016";18529;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"females total";"males total";"2017";18320;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"females total";"males total";"2018";18168;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"females total";"males total";"2019";17575;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"females total";"males total";"2020";14017;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"under 20 years";"males total";"2010";806;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"under 20 years";"males total";"2011";626;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"under 20 years";"males total";"2012";509;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"under 20 years";"males total";"2013";413;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"under 20 years";"males total";"2014";376;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"under 20 years";"males total";"2015";314;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"under 20 years";"males total";"2016";282;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"under 20 years";"males total";"2017";232;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"under 20 years";"males total";"2018";210;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"under 20 years";"males total";"2019";162;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"under 20 years";"males total";"2020";114;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"20-24";"males total";"2010";7669;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"20-24";"males total";"2011";6498;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"20-24";"males total";"2012";6386;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"20-24";"males total";"2013";5407;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"20-24";"males total";"2014";5406;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"20-24";"males total";"2015";5059;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"20-24";"males total";"2016";5042;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"20-24";"males total";"2017";4704;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"20-24";"males total";"2018";4372;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"20-24";"males total";"2019";3844;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"20-24";"males total";"2020";3025;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"25-29";"males total";"2010";8324;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"25-29";"males total";"2011";7823;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"25-29";"males total";"2012";7678;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"25-29";"males total";"2013";6527;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"25-29";"males total";"2014";6803;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"25-29";"males total";"2015";7102;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"25-29";"males total";"2016";7463;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"25-29";"males total";"2017";7485;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"25-29";"males total";"2018";7371;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"25-29";"males total";"2019";7037;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"25-29";"males total";"2020";5508;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"30-34";"males total";"2010";2465;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"30-34";"males total";"2011";2382;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"30-34";"males total";"2012";2491;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"30-34";"males total";"2013";2350;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"30-34";"males total";"2014";2555;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"30-34";"males total";"2015";2743;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"30-34";"males total";"2016";2971;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"30-34";"males total";"2017";2934;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"30-34";"males total";"2018";3001;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"30-34";"males total";"2019";3069;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"30-34";"males total";"2020";2352;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"35-39";"males total";"2010";840;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"35-39";"males total";"2011";803;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"35-39";"males total";"2012";887;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"35-39";"males total";"2013";860;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"35-39";"males total";"2014";971;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"35-39";"males total";"2015";1074;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"35-39";"males total";"2016";1173;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"35-39";"males total";"2017";1261;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"35-39";"males total";"2018";1343;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"35-39";"males total";"2019";1440;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"35-39";"males total";"2020";1218;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"40-49";"males total";"2010";577;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"40-49";"males total";"2011";610;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"40-49";"males total";"2012";623;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"40-49";"males total";"2013";672;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"40-49";"males total";"2014";706;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"40-49";"males total";"2015";758;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"40-49";"males total";"2016";966;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"40-49";"males total";"2017";1051;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"40-49";"males total";"2018";1177;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"40-49";"males total";"2019";1270;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"40-49";"males total";"2020";1143;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"50-59";"males total";"2010";369;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"50-59";"males total";"2011";391;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"50-59";"males total";"2012";365;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"50-59";"males total";"2013";360;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"50-59";"males total";"2014";436;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"50-59";"males total";"2015";372;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"50-59";"males total";"2016";395;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"50-59";"males total";"2017";420;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"50-59";"males total";"2018";421;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"50-59";"males total";"2019";445;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"50-59";"males total";"2020";430;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"60 and more";"males total";"2010";141;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"60 and more";"males total";"2011";141;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"60 and more";"males total";"2012";164;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"60 and more";"males total";"2013";174;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"60 and more";"males total";"2014";184;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"60 and more";"males total";"2015";211;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"60 and more";"males total";"2016";237;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"60 and more";"males total";"2017";233;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"60 and more";"males total";"2018";273;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"60 and more";"males total";"2019";308;"-";"";
3000000;"WIELKOPOLSKIE";"total";"total";"60 and more";"males total";"2020";227;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"females total";"males total";"2010";9521;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"females total";"males total";"2011";8612;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"females total";"males total";"2012";8559;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"females total";"males total";"2013";7730;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"females total";"males total";"2014";8183;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"females total";"males total";"2015";8339;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"females total";"males total";"2016";8256;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"females total";"males total";"2017";8231;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"females total";"males total";"2018";8249;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"females total";"males total";"2019";7866;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"females total";"males total";"2020";6148;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"under 20 years";"males total";"2010";255;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"under 20 years";"males total";"2011";205;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"under 20 years";"males total";"2012";175;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"under 20 years";"males total";"2013";146;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"under 20 years";"males total";"2014";137;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"under 20 years";"males total";"2015";136;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"under 20 years";"males total";"2016";98;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"under 20 years";"males total";"2017";90;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"under 20 years";"males total";"2018";87;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"under 20 years";"males total";"2019";62;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"under 20 years";"males total";"2020";50;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"20-24";"males total";"2010";2732;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"20-24";"males total";"2011";2235;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"20-24";"males total";"2012";2231;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"20-24";"males total";"2013";1885;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"20-24";"males total";"2014";1915;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"20-24";"males total";"2015";1836;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"20-24";"males total";"2016";1649;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"20-24";"males total";"2017";1509;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"20-24";"males total";"2018";1492;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"20-24";"males total";"2019";1222;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"20-24";"males total";"2020";833;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"25-29";"males total";"2010";3732;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"25-29";"males total";"2011";3400;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"25-29";"males total";"2012";3238;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"25-29";"males total";"2013";2857;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"25-29";"males total";"2014";2988;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"25-29";"males total";"2015";3024;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"25-29";"males total";"2016";2916;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"25-29";"males total";"2017";2980;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"25-29";"males total";"2018";2839;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"25-29";"males total";"2019";2699;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"25-29";"males total";"2020";2016;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"30-34";"males total";"2010";1400;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"30-34";"males total";"2011";1320;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"30-34";"males total";"2012";1400;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"30-34";"males total";"2013";1244;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"30-34";"males total";"2014";1426;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"30-34";"males total";"2015";1484;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"30-34";"males total";"2016";1594;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"30-34";"males total";"2017";1468;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"30-34";"males total";"2018";1544;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"30-34";"males total";"2019";1464;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"30-34";"males total";"2020";1169;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"35-39";"males total";"2010";510;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"35-39";"males total";"2011";531;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"35-39";"males total";"2012";570;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"35-39";"males total";"2013";617;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"35-39";"males total";"2014";647;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"35-39";"males total";"2015";681;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"35-39";"males total";"2016";724;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"35-39";"males total";"2017";806;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"35-39";"males total";"2018";802;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"35-39";"males total";"2019";907;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"35-39";"males total";"2020";692;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"40-49";"males total";"2010";430;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"40-49";"males total";"2011";414;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"40-49";"males total";"2012";470;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"40-49";"males total";"2013";469;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"40-49";"males total";"2014";536;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"40-49";"males total";"2015";601;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"40-49";"males total";"2016";715;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"40-49";"males total";"2017";764;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"40-49";"males total";"2018";833;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"40-49";"males total";"2019";856;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"40-49";"males total";"2020";788;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"50-59";"males total";"2010";337;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"50-59";"males total";"2011";347;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"50-59";"males total";"2012";309;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"50-59";"males total";"2013";326;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"50-59";"males total";"2014";345;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"50-59";"males total";"2015";364;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"50-59";"males total";"2016";342;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"50-59";"males total";"2017";374;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"50-59";"males total";"2018";365;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"50-59";"males total";"2019";396;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"50-59";"males total";"2020";349;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"60 and more";"males total";"2010";125;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"60 and more";"males total";"2011";160;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"60 and more";"males total";"2012";166;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"60 and more";"males total";"2013";186;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"60 and more";"males total";"2014";189;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"60 and more";"males total";"2015";213;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"60 and more";"males total";"2016";218;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"60 and more";"males total";"2017";240;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"60 and more";"males total";"2018";287;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"60 and more";"males total";"2019";260;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"total";"total";"60 and more";"males total";"2020";251;"-";"";
